SMILES,pIC50,logP
CCN1CCC[C@H]1CNC(=O)c1cc(Br)cc(OC)c1OC,11.522878745280337,2.6804000000000006
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,11.0,2.841400000000001
CCCCCNC(=O)/N=C(\N)NCCCc1cnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,2.7286000000000006
CCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,2.1236
CCCN[C@H]1CCc2nc(N)sc2C1,10.83,1.5822
CC(CNC(=O)/N=C(\N)NCCCc1nnc(N)s1)C1CCCCC1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,3.149800000000001
N/C(=N\C(=O)NCc1ccccc1)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,2.1335999999999995
CCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,2.5137
C[C@@H](NC(=O)/N=C(\N)NCCCc1ncn[nH]1)c1ccccc1.Cl.Cl,10.83,1.9560000000000013
Cc1ccc(CC(C)CNC(=O)/N=C(\N)NCCCc2cnc(N)s2)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,3.72562
CC(NC(=O)/N=C(\N)NCCCc1nnc(N)s1)c1cccc(F)c1.Cl.Cl,10.83,2.410700000000001
Cc1ccc(CC(C)CNC(=O)/N=C(\N)NCCCc2nnc(N)s2)cc1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,3.1206200000000006
N/C(=N\C(=O)NCc1ccccc1)NCCCc1cnc(N)s1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.83,2.738599999999999
C[C@@H](NC(=O)/N=C(\N)NCCCc1nnc(N)s1)c1ccccc1.Cl.Cl,10.83,2.271600000000001
