SMILES,pIC50,standard_type,chembl_id,n_measurements,source
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,6.3897,Kd,CHEMBL5653589,1,ChEMBL_FADS2
Cc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,5.699,IC50,CHEMBL1087014,1,ChEMBL_FADS2
Cc1nnc(-c2ccc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nn2)s1,1.0,IC50,CHEMBL594902,1,ChEMBL_FADS2
FC(F)(F)c1ccccc1OC1CCN(c2nnc(-c3nn[nH]n3)s2)CC1,1.0,IC50,CHEMBL2153599,1,ChEMBL_FADS2
Fc1ccc(Br)c(OC2CCN(c3nnc(-c4nn[nH]n4)s3)CC2)c1,1.0,IC50,CHEMBL2153600,1,ChEMBL_FADS2
NC(=O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,5.0,IC50,CHEMBL576820,1,ChEMBL_FADS2
O=C(O)Cn1nnc(-c2cc(N3CC4CN(c5cc(F)ccc5Cl)CC4C3)no2)n1,4.0969,IC50,CHEMBL1938871,1,ChEMBL_FADS2
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,1.0,IC50,CHEMBL1938870,1,ChEMBL_FADS2
O=C(O)Cn1nnc(-c2cc(OCCCOc3cc(F)ccc3Br)no2)n1,4.699,IC50,CHEMBL1950546,1,ChEMBL_FADS2
O=C(O)Cn1nnc(-c2nnc(N3CCC(Oc4cc(F)ccc4Br)CC3)s2)n1,1.0,IC50,CHEMBL2153601,1,ChEMBL_FADS2
