SMILES,pIC50,standard_type,chembl_id,n_measurements,source
CC(=O)NCCSc1nc2cscc2c(=O)n1-c1ccc(OCC(F)(F)F)cc1,8.7212,IC50,CHEMBL4439992,1,ChEMBL_FADS1
CC(C)c1cccc(NC(=O)c2ccccc2N)c1,6.0742,IC50,CHEMBL3608694,1,ChEMBL_FADS1
CCOc1ccc(O)c(C(=O)Nc2cccc(Cl)c2)c1,6.0339,IC50,CHEMBL3608698,1,ChEMBL_FADS1
CN(C(=O)F)c1ccn2c(=O)c(-c3cnn(CC(F)(F)C(F)(F)F)c3)c(C(F)(F)F)nc2c1,8.7959,IC50,CHEMBL4874614,1,ChEMBL_FADS1
COc1ccc(O)c(C(=O)Nc2cccc(Cl)c2)c1,7.8239,IC50,CHEMBL3608697,1,ChEMBL_FADS1
COc1ccc(OC)c(N2CC(c3ccc(F)cc3)OC2=O)c1,7.7447,IC50,CHEMBL4090490,1,ChEMBL_FADS1
COc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1,8.0969,IC50,CHEMBL3608800,1,ChEMBL_FADS1
COc1cccc(N2CC(c3ccc(F)cc3)OC2=O)c1,8.3872,IC50,CHEMBL4060775,1,ChEMBL_FADS1
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4F)cc3)[nH]c2c1,5.8778,IC50,CHEMBL1272304,1,ChEMBL_FADS1
C[C@@H]1[C@@H](c2ccc(F)cc2)OC(=O)N1c1cc(C#N)cc(C#N)c1,8.8239,IC50,CHEMBL5278664,1,ChEMBL_FADS1
C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cc(C#N)cc(C#N)c1,8.8239,IC50,CHEMBL4064555,1,ChEMBL_FADS1
C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cc(Cl)cc(C#N)c1,9.284,IC50,CHEMBL4084502,1,ChEMBL_FADS1
C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cc(F)cc(C#N)c1,8.4318,IC50,CHEMBL4102458,1,ChEMBL_FADS1
C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cccc(C#N)c1,8.0555,IC50,CHEMBL4070383,2,ChEMBL_FADS1
Cc1cc2nc(C(F)(F)F)c(-c3cnn(CC(F)(F)C(F)(F)F)c3)c(=O)n2cc1Cl,8.9208,IC50,CHEMBL4879015,1,ChEMBL_FADS1
Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2nn(C)cc12,6.3897,Kd,CHEMBL5653589,1,ChEMBL_FADS2
Cc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1,8.2218,IC50,CHEMBL3608798,1,ChEMBL_FADS1
Cc1ccc2nc(C(F)(F)F)c(-c3cnn(CC(F)(F)C(F)(F)F)c3)c(=O)n2c1,8.7696,IC50,CHEMBL4872983,1,ChEMBL_FADS1
Cc1csc(NC(=O)c2ccc(CNc3ccccc3C)cc2)n1,4.5229,IC50,CHEMBL4284259,1,ChEMBL_FADS1
Cc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,5.699,IC50,CHEMBL1087014,2,ChEMBL_FADS1+ChEMBL_FADS2
Cc1nnc(-c2ccc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nn2)s1,1.0,IC50,CHEMBL594902,2,ChEMBL_FADS1+ChEMBL_FADS2
Clc1cccc(NC2CCc3ccccc32)c1,6.762,IC50,CHEMBL3608704,1,ChEMBL_FADS1
Clc1cccc(Nc2cccc3ccccc23)c1,7.7696,IC50,CHEMBL3608700,1,ChEMBL_FADS1
Clc1cccc(Nc2ccnc3ccccc23)c1,7.7447,IC50,CHEMBL3608699,1,ChEMBL_FADS1
Clc1cccc(Nc2n[nH]c3ccc(Br)cc23)c1,7.6778,IC50,CHEMBL3608797,1,ChEMBL_FADS1
Clc1cccc(Nc2n[nH]c3ccc(Cl)cc23)c1,8.301,IC50,CHEMBL3608796,1,ChEMBL_FADS1
Clc1cccc(Nc2n[nH]c3ccccc23)c1,7.0757,IC50,CHEMBL3608793,1,ChEMBL_FADS1
Clc1cccc(Nc2nccc3occc23)c1,6.4306,IC50,CHEMBL3608701,1,ChEMBL_FADS1
Clc1cccc(Nc2ncnc3ccccc23)c1,7.9586,IC50,CHEMBL329672,1,ChEMBL_FADS1
Clc1cccc(Nc2ncnc3ccsc23)c1,7.301,IC50,CHEMBL3608702,1,ChEMBL_FADS1
Clc1cccc(Nc2ncnc3sccc23)c1,6.585,IC50,CHEMBL3608703,1,ChEMBL_FADS1
FC(F)(F)Oc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1,5.5229,IC50,CHEMBL3608801,1,ChEMBL_FADS1
FC(F)(F)c1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1,6.5952,IC50,CHEMBL3608799,1,ChEMBL_FADS1
FC(F)(F)c1ccccc1OC1CCN(c2nnc(-c3nn[nH]n3)s2)CC1,1.0,IC50,CHEMBL2153599,2,ChEMBL_FADS1+ChEMBL_FADS2
Fc1ccc(Br)c(OC2CCN(c3nnc(-c4nn[nH]n4)s3)CC2)c1,1.0,IC50,CHEMBL2153600,2,ChEMBL_FADS1+ChEMBL_FADS2
Fc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1,7.2366,IC50,CHEMBL3608795,1,ChEMBL_FADS1
Fc1cccc(Nc2n[nH]c3ccccc23)c1,7.2291,IC50,CHEMBL3608794,1,ChEMBL_FADS1
N#Cc1cccc(N2CC(c3ccc(F)cc3)OC2=O)c1,6.7696,IC50,CHEMBL4087912,1,ChEMBL_FADS1
N#Cc1cccc(N2C[C@H](c3ccc(F)cc3)OC2=O)c1,7.2218,IC50,CHEMBL4066595,1,ChEMBL_FADS1
NC(=O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,4.6505,IC50,CHEMBL576820,2,ChEMBL_FADS1+ChEMBL_FADS2
Nc1ccc(Cl)cc1C(=O)Nc1cccc(Cl)c1,7.4685,IC50,CHEMBL3608696,1,ChEMBL_FADS1
Nc1ccc(F)cc1C(=O)Nc1cccc(Cl)c1,7.1739,IC50,CHEMBL3608695,1,ChEMBL_FADS1
Nc1ccccc1C(=O)Nc1cc(Cl)cc(Cl)c1,6.6108,IC50,CHEMBL3608803,1,ChEMBL_FADS1
Nc1ccccc1C(=O)Nc1ccc(F)c(Cl)c1,6.8097,IC50,CHEMBL2263369,1,ChEMBL_FADS1
Nc1ccccc1C(=O)Nc1cccc(Cl)c1,7.3871,IC50,CHEMBL2263368,2,ChEMBL_FADS1
Nc1ccccc1C(=O)Nc1cccc(F)c1,6.2874,IC50,CHEMBL3608693,1,ChEMBL_FADS1
O=C(Nc1cccc(Cl)c1)c1ccccc1O,6.7595,IC50,CHEMBL460481,1,ChEMBL_FADS1
O=C(Nc1ccncc1)c1ccc(COc2ccccc2Cl)cc1,4.5229,IC50,CHEMBL4286131,1,ChEMBL_FADS1
O=C(O)Cn1nnc(-c2cc(N3CC4CN(c5cc(F)ccc5Cl)CC4C3)no2)n1,4.0969,IC50,CHEMBL1938871,2,ChEMBL_FADS1+ChEMBL_FADS2
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,1.0,IC50,CHEMBL1938870,2,ChEMBL_FADS1+ChEMBL_FADS2
O=C(O)Cn1nnc(-c2cc(OCCCOc3cc(F)ccc3Br)no2)n1,4.699,IC50,CHEMBL1950546,2,ChEMBL_FADS1+ChEMBL_FADS2
O=C(O)Cn1nnc(-c2nnc(N3CCC(Oc4cc(F)ccc4Br)CC3)s2)n1,1.0,IC50,CHEMBL2153601,2,ChEMBL_FADS1+ChEMBL_FADS2
O=C1OC(c2ccc(F)cc2)CN1Cc1ccc(Cl)cc1Cl,6.8239,IC50,CHEMBL4069465,1,ChEMBL_FADS1
O=C1OC(c2ccc(F)cc2)CN1c1cccc(Cl)c1,7.2596,IC50,CHEMBL4104260,1,ChEMBL_FADS1
O=C1OC(c2ccc(F)cc2)CN1c1cccc(F)c1,6.7696,IC50,CHEMBL4080025,1,ChEMBL_FADS1
O=C1OC(c2ccc(F)cc2)CN1c1ccccc1,6.7212,IC50,CHEMBL4085437,1,ChEMBL_FADS1
O=C1OC(c2ccccc2)CN1Cc1cc(O)c(Cl)cc1Cl,5.9586,IC50,CHEMBL4063561,1,ChEMBL_FADS1
O=c1c(-c2cnn(CC(F)(F)C(F)(F)F)c2)c(C(F)(F)F)nc2ccc(F)cn12,8.6778,IC50,CHEMBL4855704,1,ChEMBL_FADS1
O=c1c(-c2cnn(CCC(F)(F)F)c2)c(C(F)(F)F)nc2ccc(Cl)cn12,8.6198,IC50,CHEMBL4868627,1,ChEMBL_FADS1
O=c1c(-c2cnn(CCC(F)(F)F)c2)c(C(F)(F)F)nc2ccc(F)cn12,8.9586,IC50,CHEMBL4856454,1,ChEMBL_FADS1
