SMILES,pIC50,logP
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.52,4.895400000000006
CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,10.4,4.8079000000000045
COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,10.3,5.492500000000003
Clc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.22,4.530000000000004
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCc4ccccc4O3)CC2)nn1,10.17,3.3042000000000025
Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.0,4.154800000000003
Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.7,4.185020000000002
COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.7,5.403500000000004
Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.52,4.015700000000003
O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,9.35,3.7180000000000026
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,9.32,2.7951000000000015
OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,9.3,3.201500000000002
O=C(CO)NCCN1C(=O)COc2ccc(NCc3ccc(Cl)c(Cl)c3)cc21,9.3,2.439400000000002
C[C@H]1[C@H](c2ccc(F)cc2)OC(=O)N1c1cc(Cl)cc(C#N)c1,9.28,4.437180000000002
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)Oc2ccccc2CC3O)nn1,9.25,2.275000000000001
COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,9.22,4.401300000000004
COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,9.22,4.523800000000004
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(=O)c2ccccc2O3)nn1,9.16,2.9444000000000017
OCc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,9.0,3.7520000000000024
c1cncc(Cc2nnc(-c3ccc(N4CCC5(CCc6ccccc6O5)CC4)nn3)o2)c1,9.0,3.8766000000000025
Cc1cccc2c1CCC1(CCN(c3ccc(C(=O)NCC(O)c4cccnc4)nn3)CC1)O2,9.0,3.007620000000001
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4cc(F)ccc4Br)CC3)no2)n1,9.0,2.3621
COc1ccc(C(=O)Nc2ncc(Cc3ccc(Cl)c(Cl)c3)s2)cc1OCCO,9.0,4.672700000000003
O=C(O)Cn1nnc(-c2nnc(N3CCC4(CCc5c(cccc5C(F)(F)F)O4)CC3)s2)n1,9.0,2.659200000000001
