SMILES,pIC50
O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1c(CO)nc2ccccc2c1-c1ccccc1,13.0
NCc1nc2ccccc2c(-c2ccccc2)c1C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.7695510786217
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,11.397940008672
CC(=O)N[C@H]1CC[C@@](CO[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)(c2ccccc2)NC1,11.0
O=C(NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1c(CBr)nc2ccccc2c1-c1ccccc1,11.0
CNCc1nc2ccccc2c(-c2ccccc2)c1C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.9586073148418
COc1ccc(OC(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.9208187539524
C[C@@H](O[C@H]1CN2C(=O)C=CCC2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.8860566476932
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.7958800173441
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CNC(C)=O)C[C@H]1c1ccccc1,10.7695510786217
Cc1cc(F)ccc1[C@H]1CN(C(=O)C(N)=O)CC[C@@H]1C(=O)N(C)[C@@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.7695510786217
C[C@@H](OCC1(c2ccccc2)CC(N)C1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.698970004336
Cc1cc(F)ccc1[C@H]1CN(C(=O)C(N)=O)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.698970004336
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CCCNC(C)=O)C[C@H]1c1ccccc1,10.602059991328
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.5999803649348
CC(=O)N1CCC(C(=O)N2C[C@H](c3ccc(F)cc3)[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,10.568636235841
CC(=O)N1CCC(C(=O)N2C[C@@H](N(C)C(=O)N(C)c3cc(Cl)cc(Cl)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.537602002101
CC(=O)N1CCC(C(=O)N2C[C@@H](c3noc(C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)[C@H](c3ccc(F)cc3C)C2)CC1,10.5228787452803
CN(C(=O)N(C)[C@@H]1CN(C(=O)N2CCN(S(C)(=O)=O)CC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.5228787452803
CN(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)c1cnc2ccccc2c1-c1ccccc1,10.5228787452803
C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.5228787452803
CC(=O)N1CCC(C(=O)N2CC[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(Cl)c(Cl)c3)C2)CC1,10.5086383061657
COc1ccc(-c2ccsc2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.5000381344038
CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccccc3C)C2)CC1,10.4948500216801
CC(=O)N1CCC(C(=O)N2CC(c3ccc(F)cn3)[C@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,10.4948500216801
Cc1cc(F)ccc1[C@H]1CN(C(N)=O)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.4559319556497
CCNC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC)[C@H](c2ccccc2)C1,10.4089353929735
CN(C(=O)N(C)[C@@H]1CN(C(=O)NC2CCOCC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.4089353929735
COc1ccc(-n2nnnc2SC)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.4000078224159
COc1ccc(-n2cnnn2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.4000078224159
CCCc1nnnn1-c1ccc(OC)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1,10.4000078224159
C[C@@H](O[C@H]1CN2C(=O)C(C)(O)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.397940008672
C[C@@H](O[C@H]1CN2C(=O)C=C(C3CCN(C(C)(C)C)CC3)CC2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.3872161432803
CC(=O)NCC(=O)N1CC[C@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2C)C1,10.3665315444204
CCNC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC2CC2)[C@H](c2ccccc2)C1,10.3565473235138
Cc1cc(F)ccc1[C@H]1CN(C(=O)C(=O)NO)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.3372421683184
CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.3279021420643
CNC(=O)N1CC[C@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2C)C1,10.3187587626244
COC(=O)N[C@H]1CC[C@H](C(=O)N2C[C@@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.3098039199715
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(C)=O)C[C@H]1c1ccccc1,10.3098039199715
O=c1[nH]nc(CN2CCC[C@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccccc2)[nH]1,10.301029995664
CC(=O)N1CCC(C(=O)N2C[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.301029995664
CC(=O)N1CCC(C(=O)N2C[C@H](C(=O)N(C)C(C)(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.301029995664
C[C@@H](O[C@H]1CN2C(=O)C(n3cnnc3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.301029995664
COc1ccc(-c2c(C)noc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.2999889376779
COc1ccc(Br)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.2999889376779
CCc1nnnn1-c1ccc(OC)c(CN[C@H]2CCCN[C@H]2c2ccccc2)c1,10.2999889376779
Cc1cc(F)ccc1-c1cc(C2CNC(=O)C2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2999889376779
COc1ccc(-n2nnnc2C)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.2999889376779
CC(=O)N1CCC(C(=O)N2CC[C@H](C(=O)N(C)Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H](c3ccc(F)cc3)C2)CC1,10.2839966563652
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CCNC(C)=O)C[C@H]1c1ccccc1,10.267606240177
COC(=O)N1CC[C@H](NCc2cc(-n3nnnc3C(F)(F)F)ccc2OC)[C@H](c2ccccc2)C1,10.267606240177
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)NC2CC2)C[C@H]1c1ccccc1,10.2518119729938
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)NCC(F)(F)F)C[C@H]1c1ccccc1,10.2441251443275
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)C2CN(C(C)=O)C2)C[C@H]1c1ccccc1,10.2441251443275
CC(C)NC(=O)N1C[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](c2ccc(F)cc2)C1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)C(N)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)CC[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CC[C@@H]2CN(C3=CC(=O)CC3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)CC(C)(O)[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)C(NCc3ccn[nH]3)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
Cc1ccccc1[C@H]1[C@@H]2CN(C3=NC(=O)CO3)C[C@H]2CC[C@@H]1O[C@H](CO)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)[C@H]3C[C@@H](O)C[C@H]3[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)NC[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2218487496164
C[C@@H](O[C@H]1CN2C(=O)[C@H]3C[C@@](C)(O)C[C@H]3[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.2146701649892
Cc1cc(F)ccc1[C@H]1C[C@@H](N2CCN3C(=O)CC[C@H]3C2)CCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1999706407559
Cc1cc(F)ccc1-c1cc(C2CN(C)C(=O)C2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1999706407559
COc1ccc(-c2ccncc2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.1999706407559
COc1ccc(-c2ccoc2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.1999706407559
COc1ccc(-n2nnnc2S(C)(=O)=O)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.1999706407559
CCc1ccccc1[C@H]1CN(C(=O)C2CCN(C(C)=O)CC2)CC[C@@H]1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1938200260161
Cc1cc(F)ccc1[C@H]1C[C@H](N2CCN3C(=O)CC[C@H]3C2)CCN1C(=O)N(C)[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1899692135942
C[C@@H](O[C@H]1CN2C(=O)[C@H]3C[C@](C)(O)C[C@H]3[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1804560644581
C[C@@H](O[C@H]1CN2C(=O)C=C(C3COC(=O)C3)CC2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1804560644581
CC(=O)N1CCC(C(=O)N2C[C@@H](O[C@H](C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@H](c3ccc(F)cc3)C2)CC1,10.1549019599857
CN(C(=O)N(C)[C@@H]1CN(C(=O)C2CCN(C(=O)C(C)(C)O)CC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1549019599857
CC(=O)N1CCC(C(=O)N2C[C@H](c3nc(C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)no3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.1549019599857
CC(=O)N1CCC(C(=O)N2C[C@H](c3noc(C(C)(C)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)[C@@H](c3ccc(F)cc3C)C2)CC1,10.1549019599857
O=c1[nH]nc(CN2CCO[C@H](OCc3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2c2ccc(F)cc2)[nH]1,10.1549019599857
CC(=O)N1C[C@@H](O[C@H](C)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](c2ccc(F)cc2)C1,10.1549019599857
C[C@@H](O[C@@H]1CN(C2=CC(=O)CC2)C[C@H]1c1ccccc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1549019599857
C[C@@H](O[C@H]1CN2C(=O)CC(n3cnnc3)[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1549019599857
C[C@@H](O[C@H]1CN2C(=O)CC(O)[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1549019599857
CN(C(=O)N(C)[C@@H]1CCN(C2CCS(=O)(=O)CC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1366771398795
CONC(=O)N1CC[C@H](C(=O)N(C)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H](c2ccc(F)cc2C)C1,10.1366771398795
CC(=O)N1CCC(C(=O)N2CC(c3ccc(Cl)c(Cl)c3)[C@H](N(C)C(=O)N(C)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C2)CC1,10.1249387366083
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(S(C)(=O)=O)C[C@H]1c1ccccc1,10.1249387366083
Cc1nc2ccccc2c(-c2ccccc2)c1C(=O)NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1249387366083
Cc1cc(F)ccc1[C@H]1C[C@@H](N(C)C)CCN1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1000154374506
O=C(N[C@H]1CCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@H](Cc2ccc(Cl)cc2)C1)c1ccnc2ccccc12,10.1000154374506
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1000154374506
Cc1cc(F)ccc1-c1cc(C2NC(=O)CC2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.1000154374506
COc1ccc(-n2nnnc2C2CC2)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.1000154374506
COc1ccc(SC)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,10.1000154374506
C[C@@H](O[C@H]1CN2C(=O)[C@H]3C[C@H](O)C[C@H]3[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0969100130081
COc1ccc(-n2nnnc2C(F)(F)F)cc1C1=CC2(CCCN[C@H]2c2ccccc2)OC1,10.0969100130081
C[C@@H](O[C@H]1CN2C(=O)CC(C)(N)[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0969100130081
C[C@@H](O[C@H]1CN2C(=O)C(O)C[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0969100130081
C[C@@H](O[C@H]1CN2C(=O)CC(N)[C@H]2[C@@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0969100130081
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)NC(C)C)C[C@H]1c1ccccc1,10.0915149811214
Cc1cc(F)ccc1[C@H]1C[C@@H](N2CCC2)CCN1C(=O)N(C)Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1,10.0900163050602
COc1ccc(-n2nnnc2C(F)(F)F)cc1CN[C@H]1CCN(C(=O)CN(C)C(C)=O)C[C@H]1c1ccccc1,10.0757207139381
c1ccc(CN[C@H]2C3CCN(CC3)[C@H]2C(c2ccccc2)c2ccccc2)cc1,10.0705810742857
