SMILES,pIC50
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.52
CCNc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,10.4
COc1ccc(-c2nc3ccc(NCc4ccc(Cl)c(C(F)(F)F)c4)cc3n(CCNC(C)=O)c2=O)cc1,10.3
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.22
Clc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.22
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CCc4ccccc4O3)CC2)nn1,10.17
Fc1ccc(F)c2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,10.0
COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.7
Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.7
Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.52
COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,9.52
O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(cccc4C(F)(F)F)O3)CC2)nn1,9.35
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(O)c2ccccc2O3)nn1,9.32
OCc1ccc(-c2ccc(N3CCC(N4CCc5ccc(F)cc54)CC3)nn2)cn1,9.3
O=C(CO)NCCN1C(=O)COc2ccc(NCc3ccc(Cl)c(Cl)c3)cc21,9.3
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)Oc2ccccc2CC3O)nn1,9.25
COCCOc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OCCO,9.22
COc1ccc(C(=O)Nc2ncc(Cc3ccc(F)c(C(F)(F)F)c3)s2)cc1OCCO,9.22
O=C(NCC(O)c1ccccc1)c1ccc(N2CCC3(CC2)CC(=O)c2ccccc2O3)nn1,9.16
Fc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.15
Cc1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.15
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(Cc5cccnc5)o4)nn3)CC1)O2,9.1
O=C(NCC(O)c1cccnc1)c1ccc(N2CCC3(CCc4c(Cl)cccc4O3)CC2)nn1,9.0
